   1; Muneca articulada      ; Muneca articulada colores vibrantes               ; 115.93; 34; JUGUETERIA
  52; Cuaderno de notas      ; Cuaderno de notas edicion limitada                ; 320.05; 69; LIBRERIA
  53; Linterna LED           ; Linterna LED compacto y ligero                    ; 433.84; 22; OTROS
  54; Botella de agua mineral; Botella de agua mineral perfecto para el dia a dia;  21.07; 51; ALIMENTACION
  55; Bicicleta de montanya  ; Bicicleta de montanya ergonomico                  ;  27.68; 93; DEPORTE
  56; Mochila escolar        ; Mochila escolar multiusos                         ; 433.65; 70; OTROS
  57; Auriculares Bluetooth  ; Auriculares Bluetooth de alta fidelidad           ; 282.72; 29; ELECTRONICA
  58; Botella de aceite      ; Botella de aceite perfecto para el dia a dia      ;  27.55; 34; ALIMENTACION
  59; Auriculares Bluetooth  ; Auriculares Bluetooth ideal para entretenimiento  ;  98.75; 73; ELECTRONICA
  60; Televisor LED          ; Televisor LED ideal para entretenimiento          ;  93.97; 33; ELECTRONICA
  61; Pantalon vaquero       ; Pantalon vaquero corte moderno                    ; 415.7 ;  8; ROPA
  62; Maleta de viaje        ; Maleta de viaje con garantia                      ; 305.39; 46; OTROS
  63; Portatil               ; Portatil de ultima generacion                     ; 173.28; 73; ELECTRONICA
  64; Balon de futbol        ; Balon de futbol ergonomico                        ; 162.1 ; 91; DEPORTE
  65; Paquete de arroz       ; Paquete de arroz 100% natural                     ;  27.55;  2; ALIMENTACION
  66; Cuaderno de notas      ; Cuaderno de notas con diseno exclusivo            ; 385.31; 50; LIBRERIA
  67; Chaqueta impermeable   ; Chaqueta impermeable corte moderno                ;  34.16;  1; ROPA
  68; Libro de aventuras     ; Libro de aventuras tapa dura                      ; 152.52; 19; LIBRERIA
  69; Cortina de ducha       ; Cortina de ducha perfecto para el hogar           ; 447.04;  6; HOGAR
  70; Balon de futbol        ; Balon de futbol resistente y duradero             ; 105.27; 89; DEPORTE
  71; Juego de mesa familiar ; Juego de mesa familiar colores vibrantes          ; 377.43; 36; JUGUETERIA
  72; Caja de cereales       ; Caja de cereales 100% natural                     ;  16.6 ; 62; ALIMENTACION
  73; Balon de futbol        ; Balon de futbol facil de transportar              ;  19.31; 92; DEPORTE
  74; Muneca articulada      ; Muneca articulada estimula la creatividad         ; 279.27; 97; JUGUETERIA
  75; Botella de aceite      ; Botella de aceite perfecto para el dia a dia      ;  32.93; 70; ALIMENTACION
  76; Zapatillas deportivas  ; Zapatillas deportivas para cualquier ocasion      ; 225.76; 59; ROPA
  77; Coche teledirigido     ; Coche teledirigido estimula la creatividad        ; 272.52; 18; JUGUETERIA
  78; Lego City              ; Lego City con accesorios incluidos                ; 480.87;  4; JUGUETERIA
  79; Maleta de viaje        ; Maleta de viaje multiusos                         ; 407.26; 87; OTROS
  80; Pantalon vaquero       ; Pantalon vaquero algodon organico                 ;  34.79; 67; ROPA
  81; Zapatillas deportivas  ; Zapatillas deportivas diseno atemporal            ; 420.55; 43; ROPA
  82; Cortina de ducha       ; Cortina de ducha color neutro                     ; 421.14; 63; HOGAR
  83; Smartphone             ; Smartphone ideal para entretenimiento             ; 283.73; 21; ELECTRONICA
  84; Tableta de chocolate   ; Tableta de chocolate 100% natural                 ;  41.69; 64; ALIMENTACION
  85; Chaqueta impermeable   ; Chaqueta impermeable corte moderno                ; 307.17; 92; ROPA
  86; Set de toallas         ; Set de toallas perfecto para el hogar             ; 140.14; 15; HOGAR
  87; Set de toallas         ; Set de toallas materiales resistentes             ; 232.6 ; 46; HOGAR
  88; Lampara de escritorio  ; Lampara de escritorio materiales resistentes      ; 324.99; 35; HOGAR
  89; Maleta de viaje        ; Maleta de viaje multiusos                         ; 337.99; 95; OTROS
  90; Linterna LED           ; Linterna LED con garantia                         ;  45.17; 52; OTROS
  91; Botella de agua mineral; Botella de agua mineral 100% natural              ;  44.74; 85; ALIMENTACION
  92; Maleta de viaje        ; Maleta de viaje diseno innovador                  ; 486.16; 98; OTROS
  93; Sarten antiadherente   ; Sarten antiadherente materiales resistentes       ; 420.38; 49; HOGAR
  94; Televisor LED          ; Televisor LED con gran autonomia                  ; 188.39; 32; ELECTRONICA
  95; Maleta de viaje        ; Maleta de viaje compacto y ligero                 ; 372.86; 29; OTROS
  96; Sudadera con capucha   ; Sudadera con capucha corte moderno                ;  49.53; 20; ROPA
  97; Pantalon vaquero       ; Pantalon vaquero corte moderno                    ; 490.16; 33; ROPA
  98; Tablet                 ; Tablet con gran autonomia                         ; 452.73; 95; ELECTRONICA
  99; Muneca articulada      ; Muneca articulada materiales seguros              ; 492.21; 70; JUGUETERIA
 100; Balon de futbol        ; Balon de futbol apto para exteriores              ; 286.71; 20; DEPORTE
 101; Set de marcadores      ; Set de marcadores papel reciclado                 ; 331.62; 29; LIBRERIA
 102; Libro de aventuras     ; Libro de aventuras edicion limitada               ;  68.48; 53; LIBRERIA
 103; Agenda anual           ; Agenda anual edicion limitada                     ; 428.46; 79; LIBRERIA
 104; Pantalon vaquero       ; Pantalon vaquero algodon organico                 ; 496.02; 41; ROPA
 105; Zapatillas deportivas  ; Zapatillas deportivas para cualquier ocasion      ;   5.97; 80; ROPA
 106; Tablet                 ; Tablet con gran autonomia                         ; 422.95; 40; ELECTRONICA
 107; Camiseta basica        ; Camiseta basica gran comodidad                    ; 235.96; 59; ROPA
 108; Camara Reflex          ; Camara Reflex con pantalla 4K                     ;  28.25; 71; ELECTRONICA
 109; Mochila escolar        ; Mochila escolar multiusos                         ; 198.97; 78; OTROS
 110; Botella de agua mineral; Botella de agua mineral 100% natural              ;  49.52; 79; ALIMENTACION
 111; Balon de futbol        ; Balon de futbol ideal para entrenamiento          ; 102.45;  5; DEPORTE
 112; Camiseta basica        ; Camiseta basica algodon organico                  ;  18.8 ; 43; ROPA
 113; Auriculares Bluetooth  ; Auriculares Bluetooth de alta fidelidad           ; 421.05; 90; ELECTRONICA
 114; Tableta de chocolate   ; Tableta de chocolate de cultivo ecologico         ;  47.98; 48; ALIMENTACION
 115; Cojin decorativo       ; Cojin decorativo materiales resistentes           ; 472.06; 74; HOGAR
 116; Maleta de viaje        ; Maleta de viaje de facil uso                      ; 291.57; 12; OTROS
 117; Televisor LED          ; Televisor LED con gran autonomia                  ; 160.07; 94; ELECTRONICA
 118; Botella de aceite      ; Botella de aceite 100% natural                    ;  46.04; 72; ALIMENTACION
 119; Tablet                 ; Tablet ideal para entretenimiento                 ; 314.96;  8; ELECTRONICA
 120; Paquete de arroz       ; Paquete de arroz perfecto para el dia a dia       ;   3.56; 61; ALIMENTACION
 121; Balon de futbol        ; Balon de futbol ergonomico                        ; 377.22; 55; DEPORTE
 122; Portatil               ; Portatil con gran autonomia                       ; 234.78; 73; ELECTRONICA
 123; Caja de cereales       ; Caja de cereales 100% natural                     ;  23.25;  4; ALIMENTACION
 124; Muneca articulada      ; Muneca articulada para todas las edades           ;  11.08; 34; JUGUETERIA
 125; Botella de agua mineral; Botella de agua mineral de cultivo ecologico      ;  45.31; 85; ALIMENTACION
 126; Sudadera con capucha   ; Sudadera con capucha para cualquier ocasion       ; 243.29; 97; ROPA
 127; Paraguas automatico    ; Paraguas automatico compacto y ligero             ;  73.15; 63; OTROS
 128; Smartphone             ; Smartphone de alta fidelidad                      ; 294.34; 16; ELECTRONICA
 129; Set de toallas         ; Set de toallas color neutro                       ; 443.18; 51; HOGAR
 130; Cuaderno de notas      ; Cuaderno de notas ideal para estudiantes          ; 157.79; 50; LIBRERIA
 131; Sudadera con capucha   ; Sudadera con capucha algodon organico             ; 261.25; 57; ROPA
 132; Libro de aventuras     ; Libro de aventuras papel reciclado                ; 256.02; 86; LIBRERIA
 133; Portatil               ; Portatil de alta fidelidad                        ; 101.73; 21; ELECTRONICA
 134; Muneca articulada      ; Muneca articulada estimula la creatividad         ;  98.73; 54; JUGUETERIA
 135; Cargador portatil      ; Cargador portatil diseno innovador                ; 426.74; 61; OTROS
 136; Cojin decorativo       ; Cojin decorativo diseno elegante                  ; 212.25; 39; HOGAR
 137; Tableta de chocolate   ; Tableta de chocolate 100% natural                 ;  25.3 ; 15; ALIMENTACION
 138; Coche teledirigido     ; Coche teledirigido con accesorios incluidos       ; 313.84; 84; JUGUETERIA
 139; Mochila escolar        ; Mochila escolar de facil uso                      ; 106.63; 57; OTROS
 140; Tablet                 ; Tablet de ultima generacion                       ;  41.5 ; 30; ELECTRONICA
 141; Botella de aceite      ; Botella de aceite sin azucar anadido              ;  22.58; 31; ALIMENTACION
 142; Lampara de escritorio  ; Lampara de escritorio facil de limpiar            ; 103.57; 87; HOGAR
 143; Cuaderno de notas      ; Cuaderno de notas con diseno exclusivo            ; 360.82; 98; LIBRERIA
 144; Coche teledirigido     ; Coche teledirigido materiales seguros             ;  15.64; 95; JUGUETERIA
 145; Paquete de arroz       ; Paquete de arroz de cultivo ecologico             ;  19.57; 17; ALIMENTACION
 146; Cortina de ducha       ; Cortina de ducha diseno elegante                  ; 230.82; 68; HOGAR
 147; Cortina de ducha       ; Cortina de ducha color neutro                     ; 488.67; 88; HOGAR
 148; Balon de futbol        ; Balon de futbol resistente y duradero             ;  76.49; 95; DEPORTE
 149; Coche teledirigido     ; Coche teledirigido colores vibrantes              ; 192.21; 86; JUGUETERIA
 150; Cojin decorativo       ; Cojin decorativo perfecto para el hogar           ; 488.61; 41; HOGAR
 151; Auriculares Bluetooth  ; Auriculares Bluetooth ideal para entretenimiento  ;  98.61; 29; ELECTRONICA
 152; Pantalon vaquero       ; Pantalon vaquero diseno atemporal                 ; 127.35; 41; ROPA
 153; Pantalon vaquero       ; Pantalon vaquero gran comodidad                   ; 484.35; 89; ROPA
 154; Muneca articulada      ; Muneca articulada con accesorios incluidos        ; 396.54; 70; JUGUETERIA
 155; Botella de aceite      ; Botella de aceite perfecto para el dia a dia      ;  20.02; 49; ALIMENTACION
 156; Sarten antiadherente   ; Sarten antiadherente color neutro                 ; 234.81; 17; HOGAR
 157; Cojin decorativo       ; Cojin decorativo perfecto para el hogar           ; 359.25; 75; HOGAR
 158; Mochila escolar        ; Mochila escolar con garantia                      ; 203.47; 57; OTROS
 159; Smartphone             ; Smartphone con pantalla 4K                        ; 447.97; 93; ELECTRONICA
 160; Juego de mesa familiar ; Juego de mesa familiar materiales seguros         ; 156.47; 58; JUGUETERIA
 161; Agenda anual           ; Agenda anual con diseno exclusivo                 ; 277.52; 63; LIBRERIA
 162; Caja de cereales       ; Caja de cereales en envase reciclable             ;  26.42; 29; ALIMENTACION
 163; Portatil               ; Portatil ideal para entretenimiento               ; 312.46; 54; ELECTRONICA
 164; Linterna LED           ; Linterna LED de facil uso                         ; 207.43; 27; OTROS
 165; Set de toallas         ; Set de toallas perfecto para el hogar             ;  17.24; 96; HOGAR
 166; Puzzle de 1000 piezas  ; Puzzle de 1000 piezas para todas las edades       ; 182.75; 55; JUGUETERIA
 167; Zapatillas deportivas  ; Zapatillas deportivas gran comodidad              ; 275.59; 18; ROPA
 168; Pantalon vaquero       ; Pantalon vaquero algodon organico                 ;  63.7 ; 98; ROPA
 169; Auriculares Bluetooth  ; Auriculares Bluetooth con pantalla 4K             ; 170.21; 44; ELECTRONICA
 170; Set de toallas         ; Set de toallas diseno elegante                    ; 373.88; 10; HOGAR
 171; Pantalon vaquero       ; Pantalon vaquero gran comodidad                   ; 499.01; 19; ROPA
 172; Camiseta basica        ; Camiseta basica diseno atemporal                  ; 144.51; 82; ROPA
 173; Pesas ajustables       ; Pesas ajustables ergonomico                       ; 380.11;  2; DEPORTE
 174; Cargador portatil      ; Cargador portatil compacto y ligero               ; 433.41;  3; OTROS
 175; Coche teledirigido     ; Coche teledirigido con accesorios incluidos       ; 120.69;  8; JUGUETERIA
 176; Linterna LED           ; Linterna LED diseno innovador                     ; 397.0 ; 77; OTROS
 177; Juego de mesa familiar ; Juego de mesa familiar con accesorios incluidos   ; 108.74; 89; JUGUETERIA
 178; Tablet                 ; Tablet con pantalla 4K                            ; 290.87; 13; ELECTRONICA
 179; Camiseta basica        ; Camiseta basica para cualquier ocasion            ; 406.15; 66; ROPA
 180; Cortina de ducha       ; Cortina de ducha perfecto para el hogar           ; 215.73; 36; HOGAR
 181; Esterilla de yoga      ; Esterilla de yoga apto para exteriores            ; 166.41; 80; DEPORTE
 182; Smartphone             ; Smartphone con pantalla 4K                        ; 488.74; 52; ELECTRONICA
 183; Pesas ajustables       ; Pesas ajustables ideal para entrenamiento         ; 474.6 ; 47; DEPORTE
 184; Raqueta de tenis       ; Raqueta de tenis facil de transportar             ;  58.78; 68; DEPORTE
 185; Mochila escolar        ; Mochila escolar multiusos                         ;  89.85; 66; OTROS
 186; Libro de aventuras     ; Libro de aventuras edicion limitada               ; 246.86; 11; LIBRERIA
 187; Muneca articulada      ; Muneca articulada con accesorios incluidos        ; 145.49; 39; JUGUETERIA
 188; Zapatillas deportivas  ; Zapatillas deportivas algodon organico            ; 230.06; 39; ROPA
 189; Smartphone             ; Smartphone de alta fidelidad                      ; 430.56;  5; ELECTRONICA
 190; Raqueta de tenis       ; Raqueta de tenis resistente y duradero            ;  68.92; 74; DEPORTE
 191; Maleta de viaje        ; Maleta de viaje de facil uso                      ; 477.77;  7; OTROS
 192; Cuaderno de notas      ; Cuaderno de notas con diseno exclusivo            ; 218.94; 42; LIBRERIA
 193; Paraguas automatico    ; Paraguas automatico con garantia                  ; 289.67; 24; OTROS
 194; Lego City              ; Lego City con accesorios incluidos                ; 141.34; 18; JUGUETERIA
 195; Boligrafo azul         ; Boligrafo azul tapa dura                          ; 413.17; 94; LIBRERIA
 196; Lego City              ; Lego City estimula la creatividad                 ; 455.6 ;  6; JUGUETERIA
 197; Linterna LED           ; Linterna LED con garantia                         ;  24.35; 80; OTROS
 198; Chaqueta impermeable   ; Chaqueta impermeable diseno atemporal             ; 351.66; 70; ROPA
 199; Chaqueta impermeable   ; Chaqueta impermeable gran comodidad               ; 412.6 ; 86; ROPA
 200; Raqueta de tenis       ; Raqueta de tenis ideal para entrenamiento         ; 450.48;  2; DEPORTE
 201; Pesas ajustables       ; Pesas ajustables facil de transportar             ; 455.86; 47; DEPORTE
 202; Tableta de chocolate   ; Tableta de chocolate 100% natural                 ;  12.75; 92; ALIMENTACION
 203; Zapatillas deportivas  ; Zapatillas deportivas diseno atemporal            ; 335.0 ; 56; ROPA
 204; Juego de mesa familiar ; Juego de mesa familiar con accesorios incluidos   ; 496.23; 65; JUGUETERIA
 205; Caja de cereales       ; Caja de cereales 100% natural                     ;  38.01; 13; ALIMENTACION
 206; Sarten antiadherente   ; Sarten antiadherente perfecto para el hogar       ;  86.6 ; 44; HOGAR
 207; Portatil               ; Portatil de ultima generacion                     ;  41.23; 38; ELECTRONICA
 208; Linterna LED           ; Linterna LED diseno innovador                     ; 374.25;  7; OTROS
 209; Balon de futbol        ; Balon de futbol resistente y duradero             ; 129.05; 33; DEPORTE
 210; Agenda anual           ; Agenda anual ideal para estudiantes               ; 244.96; 88; LIBRERIA
 211; Botella de agua mineral; Botella de agua mineral de cultivo ecologico      ;  35.97; 66; ALIMENTACION
 212; Boligrafo azul         ; Boligrafo azul con diseno exclusivo               ; 421.57; 30; LIBRERIA
 213; Auriculares Bluetooth  ; Auriculares Bluetooth de ultima generacion        ;  92.73; 84; ELECTRONICA
 214; Raqueta de tenis       ; Raqueta de tenis resistente y duradero            ; 337.34;  1; DEPORTE
 215; Pantalon vaquero       ; Pantalon vaquero para cualquier ocasion           ; 182.25; 60; ROPA
 216; Camara Reflex          ; Camara Reflex ideal para entretenimiento          ; 112.0 ; 61; ELECTRONICA
 217; Camara Reflex          ; Camara Reflex ideal para entretenimiento          ; 322.3 ; 30; ELECTRONICA
 218; Tableta de chocolate   ; Tableta de chocolate sin azucar anadido           ;  22.76; 68; ALIMENTACION
 219; Televisor LED          ; Televisor LED con gran autonomia                  ; 384.72; 66; ELECTRONICA
 220; Cortina de ducha       ; Cortina de ducha materiales resistentes           ;  50.24;  9; HOGAR
 221; Televisor LED          ; Televisor LED de alta fidelidad                   ; 411.16; 66; ELECTRONICA
 222; Botella de aceite      ; Botella de aceite 100% natural                    ;  40.05; 91; ALIMENTACION
 223; Cuaderno de notas      ; Cuaderno de notas tapa dura                       ; 210.76; 43; LIBRERIA
 224; Set de toallas         ; Set de toallas color neutro                       ; 315.26; 92; HOGAR
 225; Lego City              ; Lego City con accesorios incluidos                ; 469.77; 97; JUGUETERIA
 226; Coche teledirigido     ; Coche teledirigido para todas las edades          ; 181.51; 28; JUGUETERIA
 227; Portatil               ; Portatil de alta fidelidad                        ;  10.93; 86; ELECTRONICA
 228; Paraguas automatico    ; Paraguas automatico multiusos                     ; 330.69;  9; OTROS
 229; Lampara de escritorio  ; Lampara de escritorio facil de limpiar            ; 443.3 ; 71; HOGAR
 230; Zapatillas deportivas  ; Zapatillas deportivas para cualquier ocasion      ; 491.64; 30; ROPA
 231; Agenda anual           ; Agenda anual tapa dura                            ; 301.93; 29; LIBRERIA
 232; Raqueta de tenis       ; Raqueta de tenis apto para exteriores             ;  91.79; 77; DEPORTE
 233; Sarten antiadherente   ; Sarten antiadherente facil de limpiar             ; 170.88; 83; HOGAR
 234; Linterna LED           ; Linterna LED con garantia                         ; 322.09;  3; OTROS
 235; Smartphone             ; Smartphone de ultima generacion                   ; 310.09;  2; ELECTRONICA
 236; Pantalon vaquero       ; Pantalon vaquero para cualquier ocasion           ; 379.84; 28; ROPA
 237; Paquete de arroz       ; Paquete de arroz de cultivo ecologico             ;  19.35; 53; ALIMENTACION
 238; Coche teledirigido     ; Coche teledirigido con accesorios incluidos       ; 106.17; 56; JUGUETERIA
 239; Lego City              ; Lego City con accesorios incluidos                ; 370.93; 18; JUGUETERIA
 240; Agenda anual           ; Agenda anual con diseno exclusivo                 ; 323.58; 20; LIBRERIA
 241; Auriculares Bluetooth  ; Auriculares Bluetooth con gran autonomia          ; 325.78;  2; ELECTRONICA
 242; Smartphone             ; Smartphone de alta fidelidad                      ; 174.65; 13; ELECTRONICA
 243; Camara Reflex          ; Camara Reflex con pantalla 4K                     ; 401.72; 17; ELECTRONICA
 244; Lego City              ; Lego City con accesorios incluidos                ; 263.13; 57; JUGUETERIA
 245; Maleta de viaje        ; Maleta de viaje multiusos                         ; 435.58; 36; OTROS
 246; Muneca articulada      ; Muneca articulada materiales seguros              ; 469.45; 88; JUGUETERIA
 247; Botella de aceite      ; Botella de aceite perfecto para el dia a dia      ;  27.89; 40; ALIMENTACION
 248; Lego City              ; Lego City para todas las edades                   ; 215.99; 49; JUGUETERIA
 249; Pantalon vaquero       ; Pantalon vaquero corte moderno                    ; 126.24; 94; ROPA
 250; Puzzle de 1000 piezas  ; Puzzle de 1000 piezas estimula la creatividad     ; 290.33; 65; JUGUETERIA
 251; Puzzle de 1000 piezas  ; Puzzle de 1000 piezas con accesorios incluidos    ;  44.61; 38; JUGUETERIA
 252; Pesas ajustables       ; Pesas ajustables ideal para entrenamiento         ; 238.0 ; 72; DEPORTE
 253; Raqueta de tenis       ; Raqueta de tenis facil de transportar             ;  14.81; 52; DEPORTE
 254; Balon de futbol        ; Balon de futbol apto para exteriores              ; 299.62; 86; DEPORTE
 255; Agenda anual           ; Agenda anual ideal para estudiantes               ; 234.51; 41; LIBRERIA
 256; Chaqueta impermeable   ; Chaqueta impermeable gran comodidad               ; 304.98; 54; ROPA
 257; Cortina de ducha       ; Cortina de ducha perfecto para el hogar           ; 101.88; 16; HOGAR
 258; Televisor LED          ; Televisor LED ideal para entretenimiento          ; 366.53;  4; ELECTRONICA
 259; Linterna LED           ; Linterna LED de facil uso                         ; 470.44; 12; OTROS
 260; Sarten antiadherente   ; Sarten antiadherente perfecto para el hogar       ; 157.37; 95; HOGAR
 261; Tableta de chocolate   ; Tableta de chocolate 100% natural                 ;  49.63; 53; ALIMENTACION
 262; Esterilla de yoga      ; Esterilla de yoga ideal para entrenamiento        ; 101.14; 24; DEPORTE
 263; Sudadera con capucha   ; Sudadera con capucha gran comodidad               ; 356.02; 51; ROPA
 264; Lampara de escritorio  ; Lampara de escritorio perfecto para el hogar      ; 463.63; 12; HOGAR
 265; Coche teledirigido     ; Coche teledirigido con accesorios incluidos       ;  22.08; 12; JUGUETERIA
 266; Camara Reflex          ; Camara Reflex con pantalla 4K                     ; 134.36; 26; ELECTRONICA
 267; Agenda anual           ; Agenda anual papel reciclado                      ; 303.06; 79; LIBRERIA
 268; Libro de aventuras     ; Libro de aventuras tapa dura                      ; 386.63;  9; LIBRERIA
 269; Pesas ajustables       ; Pesas ajustables ergonomico                       ; 487.2 ; 63; DEPORTE
 270; Juego de mesa familiar ; Juego de mesa familiar materiales seguros         ; 415.73; 19; JUGUETERIA
 271; Zapatillas deportivas  ; Zapatillas deportivas gran comodidad              ; 330.95; 22; ROPA
 272; Chaqueta impermeable   ; Chaqueta impermeable algodon organico             ;  59.09; 23; ROPA
 273; Cortina de ducha       ; Cortina de ducha diseno elegante                  ; 375.62; 45; HOGAR
 274; Bicicleta de montanya  ; Bicicleta de montanya resistente y duradero       ; 493.58; 77; DEPORTE
 275; Televisor LED          ; Televisor LED de ultima generacion                ; 388.0 ; 98; ELECTRONICA
 276; Bicicleta de montanya  ; Bicicleta de montanya facil de transportar        ;  89.46;  8; DEPORTE
 277; Cuaderno de notas      ; Cuaderno de notas papel reciclado                 ; 245.8 ; 17; LIBRERIA
 278; Tableta de chocolate   ; Tableta de chocolate perfecto para el dia a dia   ;  40.9 ; 63; ALIMENTACION
 279; Muneca articulada      ; Muneca articulada materiales seguros              ; 405.54; 60; JUGUETERIA
 280; Chaqueta impermeable   ; Chaqueta impermeable para cualquier ocasion       ; 315.28; 33; ROPA
 281; Botella de aceite      ; Botella de aceite 100% natural                    ;  15.36; 65; ALIMENTACION
 282; Caja de cereales       ; Caja de cereales 100% natural                     ;  17.77; 47; ALIMENTACION
 283; Juego de mesa familiar ; Juego de mesa familiar con accesorios incluidos   ; 338.04; 80; JUGUETERIA
 284; Televisor LED          ; Televisor LED de alta fidelidad                   ; 377.14; 51; ELECTRONICA
 285; Televisor LED          ; Televisor LED con pantalla 4K                     ; 263.56; 60; ELECTRONICA
 286; Esterilla de yoga      ; Esterilla de yoga ergonomico                      ; 493.51; 94; DEPORTE
 287; Chaqueta impermeable   ; Chaqueta impermeable para cualquier ocasion       ; 379.67; 38; ROPA
 288; Bicicleta de montanya  ; Bicicleta de montanya apto para exteriores        ; 342.52;  8; DEPORTE
 289; Cortina de ducha       ; Cortina de ducha diseno elegante                  ; 334.21; 68; HOGAR
 290; Tablet                 ; Tablet de alta fidelidad                          ; 404.1 ; 43; ELECTRONICA
 291; Linterna LED           ; Linterna LED compacto y ligero                    ;  17.71; 32; OTROS
 292; Pantalon vaquero       ; Pantalon vaquero diseno atemporal                 ; 228.7 ; 96; ROPA
 293; Cargador portatil      ; Cargador portatil de facil uso                    ; 331.81; 55; OTROS
 294; Lampara de escritorio  ; Lampara de escritorio diseno elegante             ; 437.35; 96; HOGAR
